dataset	asset	url
MNIST	train images	https://github.com/fgnt/mnist/raw/refs/heads/master/train-images-idx3-ubyte.gz
MNIST	train labels	https://github.com/fgnt/mnist/raw/refs/heads/master/train-labels-idx1-ubyte.gz
MNIST	test images	https://github.com/fgnt/mnist/raw/refs/heads/master/t10k-images-idx3-ubyte.gz
MNIST	test labels	https://github.com/fgnt/mnist/raw/refs/heads/master/t10k-labels-idx1-ubyte.gz
Fashion-MNIST	train images	https://raw.githubusercontent.com/zalandoresearch/fashion-mnist/master/data/fashion/train-images-idx3-ubyte.gz
Fashion-MNIST	train labels	https://raw.githubusercontent.com/zalandoresearch/fashion-mnist/master/data/fashion/train-labels-idx1-ubyte.gz
Fashion-MNIST	test images	https://raw.githubusercontent.com/zalandoresearch/fashion-mnist/master/data/fashion/t10k-images-idx3-ubyte.gz
Fashion-MNIST	test labels	https://raw.githubusercontent.com/zalandoresearch/fashion-mnist/master/data/fashion/t10k-labels-idx1-ubyte.gz
Kuzushiji-MNIST	train images	https://codh.rois.ac.jp/kmnist/dataset/kmnist/train-images-idx3-ubyte.gz
Kuzushiji-MNIST	train labels	https://codh.rois.ac.jp/kmnist/dataset/kmnist/train-labels-idx1-ubyte.gz
Kuzushiji-MNIST	test images	https://codh.rois.ac.jp/kmnist/dataset/kmnist/t10k-images-idx3-ubyte.gz
Kuzushiji-MNIST	test labels	https://codh.rois.ac.jp/kmnist/dataset/kmnist/t10k-labels-idx1-ubyte.gz
QMNIST	train images	https://github.com/facebookresearch/qmnist/raw/refs/heads/main/qmnist-train-images-idx3-ubyte.gz
QMNIST	train labels	https://github.com/facebookresearch/qmnist/raw/refs/heads/main/qmnist-train-labels-idx2-int.gz
QMNIST	test images	https://github.com/facebookresearch/qmnist/raw/refs/heads/main/qmnist-test-images-idx3-ubyte.gz
QMNIST	test labels	https://github.com/facebookresearch/qmnist/raw/refs/heads/main/qmnist-test-labels-idx2-int.gz
CIFAR-10	archive	https://cave.cs.toronto.edu/kriz/cifar-10-binary.tar.gz
Small NORB	training images	https://cs.nyu.edu/~ylclab/data/norb-v1.0-small/smallnorb-5x46789x9x18x6x2x96x96-training-dat.mat.gz
Small NORB	training categories	https://cs.nyu.edu/~ylclab/data/norb-v1.0-small/smallnorb-5x46789x9x18x6x2x96x96-training-cat.mat.gz
Small NORB	training metadata	https://cs.nyu.edu/~ylclab/data/norb-v1.0-small/smallnorb-5x46789x9x18x6x2x96x96-training-info.mat.gz
Small NORB	testing images	https://cs.nyu.edu/~ylclab/data/norb-v1.0-small/smallnorb-5x01235x9x18x6x2x96x96-testing-dat.mat.gz
Small NORB	testing categories	https://cs.nyu.edu/~ylclab/data/norb-v1.0-small/smallnorb-5x01235x9x18x6x2x96x96-testing-cat.mat.gz
Small NORB	testing metadata	https://cs.nyu.edu/~ylclab/data/norb-v1.0-small/smallnorb-5x01235x9x18x6x2x96x96-testing-info.mat.gz
COIL-20	archive	https://cave.cs.columbia.edu/old/databases/SLAM_coil-20_coil-100/coil-20/coil-20-proc.zip
COIL-100	archive	https://cave.cs.columbia.edu/old/databases/SLAM_coil-20_coil-100/coil-100/coil-100.zip
20 Newsgroups	archive	http://qwone.com/~jason/20Newsgroups/20news-bydate.tar.gz
Isomap	swiss roll	https://web.archive.org/web/20151031205619id_/http://web.mit.edu/cocosci/isomap/swiss_roll_data.mat
Isomap	faces	https://web.archive.org/web/20150922051706id_/http://isomap.stanford.edu/face_data.mat.Z
Mammoth	10k	https://raw.githubusercontent.com/PAIR-code/understanding-umap/master/raw_data/mammoth_3d.json
Mammoth	50k	https://raw.githubusercontent.com/PAIR-code/understanding-umap/master/raw_data/mammoth_3d_50k.json
